iter    1 | T=50 | loss 0.19290
iter   25 | T=56 | loss 0.03801
iter   50 | T=55 | loss 0.03261
iter   75 | T=59 | loss 0.02569
iter  100 | T=50 | loss 0.02545
iter  125 | T=60 | loss 0.02435
iter  150 | T=49 | loss 0.02479
iter  175 | T=51 | loss 0.02389
iter  200 | T=49 | loss 0.02339
iter  225 | T=57 | loss 0.02255
iter  250 | T=46 | loss 0.02254
iter  275 | T=45 | loss 0.02178
iter  300 | T=57 | loss 0.01927
iter  325 | T=59 | loss 0.01941
iter  350 | T=49 | loss 0.01978
iter  375 | T=55 | loss 0.01784
iter  400 | T=47 | loss 0.01842
iter  425 | T=55 | loss 0.01755
iter  450 | T=49 | loss 0.01656
iter  475 | T=58 | loss 0.01610
iter  500 | T=58 | loss 0.01573
iter  525 | T=45 | loss 0.01540
iter  550 | T=54 | loss 0.01452
iter  575 | T=44 | loss 0.01517
iter  600 | T=55 | loss 0.01321
iter  625 | T=46 | loss 0.01427
iter  650 | T=47 | loss 0.01408
iter  675 | T=59 | loss 0.01301
iter  700 | T=54 | loss 0.01254
iter  725 | T=50 | loss 0.01421
iter  750 | T=51 | loss 0.01255
iter  775 | T=45 | loss 0.01264
iter  800 | T=53 | loss 0.01146
iter  825 | T=48 | loss 0.01197
iter  850 | T=49 | loss 0.01138
iter  875 | T=53 | loss 0.01068
iter  900 | T=59 | loss 0.01069
iter  925 | T=44 | loss 0.01144
iter  950 | T=59 | loss 0.01072
iter  975 | T=57 | loss 0.00969
iter 1000 | T=45 | loss 0.01096
iter 1025 | T=56 | loss 0.00923
iter 1050 | T=59 | loss 0.00945
iter 1075 | T=56 | loss 0.00898
iter 1100 | T=46 | loss 0.01141
iter 1125 | T=53 | loss 0.00858
iter 1150 | T=51 | loss 0.00874
iter 1175 | T=47 | loss 0.00999
iter 1200 | T=59 | loss 0.00850
iter 1225 | T=48 | loss 0.00833
iter 1250 | T=49 | loss 0.00836
iter 1275 | T=51 | loss 0.00925
iter 1300 | T=45 | loss 0.00838
iter 1325 | T=49 | loss 0.00781
iter 1350 | T=60 | loss 0.00839
iter 1375 | T=45 | loss 0.00896
iter 1400 | T=47 | loss 0.00809
iter 1425 | T=56 | loss 0.00827
iter 1450 | T=52 | loss 0.00896
iter 1475 | T=49 | loss 0.00777
iter 1500 | T=56 | loss 0.00636
iter 1525 | T=51 | loss 0.00707
iter 1550 | T=47 | loss 0.00814
iter 1575 | T=52 | loss 0.00841
iter 1600 | T=50 | loss 0.00731
